id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kematian,jenis_kelamin,jumlah_kematian,satuan,tahun
143,32,JAWA BARAT,3276,KOTA DEPOK,NEONATAL,PEREMPUAN,9,JIWA,2018
144,32,JAWA BARAT,3277,KOTA CIMAHI,ANAK BALITA,LAKI-LAKI,0,JIWA,2018
145,32,JAWA BARAT,3277,KOTA CIMAHI,ANAK BALITA,PEREMPUAN,2,JIWA,2018
146,32,JAWA BARAT,3277,KOTA CIMAHI,BAYI,LAKI-LAKI,25,JIWA,2018
147,32,JAWA BARAT,3277,KOTA CIMAHI,BAYI,PEREMPUAN,25,JIWA,2018
148,32,JAWA BARAT,3277,KOTA CIMAHI,NEONATAL,LAKI-LAKI,17,JIWA,2018
149,32,JAWA BARAT,3277,KOTA CIMAHI,NEONATAL,PEREMPUAN,19,JIWA,2018
150,32,JAWA BARAT,3278,KOTA TASIKMALAYA,ANAK BALITA,LAKI-LAKI,3,JIWA,2018
151,32,JAWA BARAT,3278,KOTA TASIKMALAYA,ANAK BALITA,PEREMPUAN,5,JIWA,2018
152,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BAYI,LAKI-LAKI,50,JIWA,2018
153,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BAYI,PEREMPUAN,30,JIWA,2018
154,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEONATAL,LAKI-LAKI,33,JIWA,2018
155,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEONATAL,PEREMPUAN,25,JIWA,2018
156,32,JAWA BARAT,3279,KOTA BANJAR,ANAK BALITA,LAKI-LAKI,0,JIWA,2018
157,32,JAWA BARAT,3279,KOTA BANJAR,ANAK BALITA,PEREMPUAN,0,JIWA,2018
158,32,JAWA BARAT,3279,KOTA BANJAR,BAYI,LAKI-LAKI,0,JIWA,2018
159,32,JAWA BARAT,3279,KOTA BANJAR,BAYI,PEREMPUAN,0,JIWA,2018
160,32,JAWA BARAT,3279,KOTA BANJAR,NEONATAL,LAKI-LAKI,0,JIWA,2018
161,32,JAWA BARAT,3279,KOTA BANJAR,NEONATAL,PEREMPUAN,0,JIWA,2018
162,32,JAWA BARAT,3201,KABUPATEN BOGOR,ANAK BALITA,LAKI-LAKI,2,JIWA,2019
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,ANAK BALITA,PEREMPUAN,4,JIWA,2019
164,32,JAWA BARAT,3201,KABUPATEN BOGOR,BAYI,LAKI-LAKI,45,JIWA,2019
165,32,JAWA BARAT,3201,KABUPATEN BOGOR,BAYI,PEREMPUAN,59,JIWA,2019
166,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEONATAL,LAKI-LAKI,42,JIWA,2019
167,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEONATAL,PEREMPUAN,49,JIWA,2019
168,32,JAWA BARAT,3204,KABUPATEN BANDUNG,ANAK BALITA,LAKI-LAKI,5,JIWA,2019
169,32,JAWA BARAT,3204,KABUPATEN BANDUNG,ANAK BALITA,PEREMPUAN,6,JIWA,2019
170,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BAYI,LAKI-LAKI,122,JIWA,2019
171,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BAYI,PEREMPUAN,95,JIWA,2019
172,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEONATAL,LAKI-LAKI,107,JIWA,2019
173,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEONATAL,PEREMPUAN,83,JIWA,2019
174,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ANAK BALITA,LAKI-LAKI,10,JIWA,2019
175,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ANAK BALITA,PEREMPUAN,7,JIWA,2019
176,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BAYI,LAKI-LAKI,105,JIWA,2019
177,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BAYI,PEREMPUAN,77,JIWA,2019
178,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEONATAL,LAKI-LAKI,86,JIWA,2019
179,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEONATAL,PEREMPUAN,53,JIWA,2019
180,32,JAWA BARAT,3207,KABUPATEN CIAMIS,ANAK BALITA,LAKI-LAKI,10,JIWA,2019
181,32,JAWA BARAT,3207,KABUPATEN CIAMIS,ANAK BALITA,PEREMPUAN,6,JIWA,2019
182,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BAYI,LAKI-LAKI,58,JIWA,2019
183,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BAYI,PEREMPUAN,40,JIWA,2019
184,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEONATAL,LAKI-LAKI,41,JIWA,2019
185,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEONATAL,PEREMPUAN,34,JIWA,2019
186,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,ANAK BALITA,LAKI-LAKI,1,JIWA,2019
187,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,ANAK BALITA,PEREMPUAN,1,JIWA,2019
188,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BAYI,LAKI-LAKI,35,JIWA,2019
189,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BAYI,PEREMPUAN,34,JIWA,2019
190,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEONATAL,LAKI-LAKI,25,JIWA,2019
191,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEONATAL,PEREMPUAN,25,JIWA,2019
192,32,JAWA BARAT,3209,KABUPATEN CIREBON,ANAK BALITA,LAKI-LAKI,3,JIWA,2019
193,32,JAWA BARAT,3209,KABUPATEN CIREBON,ANAK BALITA,PEREMPUAN,2,JIWA,2019
194,32,JAWA BARAT,3209,KABUPATEN CIREBON,BAYI,LAKI-LAKI,78,JIWA,2019
195,32,JAWA BARAT,3209,KABUPATEN CIREBON,BAYI,PEREMPUAN,49,JIWA,2019
196,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEONATAL,LAKI-LAKI,67,JIWA,2019
197,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEONATAL,PEREMPUAN,42,JIWA,2019
198,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,ANAK BALITA,LAKI-LAKI,5,JIWA,2019
199,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,ANAK BALITA,PEREMPUAN,5,JIWA,2019
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BAYI,LAKI-LAKI,74,JIWA,2019
201,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BAYI,PEREMPUAN,60,JIWA,2019
202,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEONATAL,LAKI-LAKI,51,JIWA,2019
203,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEONATAL,PEREMPUAN,38,JIWA,2019
204,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,ANAK BALITA,LAKI-LAKI,5,JIWA,2019
205,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,ANAK BALITA,PEREMPUAN,3,JIWA,2019
206,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BAYI,LAKI-LAKI,145,JIWA,2019
207,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BAYI,PEREMPUAN,101,JIWA,2019
208,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEONATAL,LAKI-LAKI,133,JIWA,2019
209,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEONATAL,PEREMPUAN,95,JIWA,2019
210,32,JAWA BARAT,3213,KABUPATEN SUBANG,ANAK BALITA,LAKI-LAKI,2,JIWA,2019
211,32,JAWA BARAT,3213,KABUPATEN SUBANG,ANAK BALITA,PEREMPUAN,1,JIWA,2019
212,32,JAWA BARAT,3213,KABUPATEN SUBANG,BAYI,LAKI-LAKI,56,JIWA,2019
213,32,JAWA BARAT,3213,KABUPATEN SUBANG,BAYI,PEREMPUAN,55,JIWA,2019
214,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEONATAL,LAKI-LAKI,53,JIWA,2019
215,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEONATAL,PEREMPUAN,53,JIWA,2019
216,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,ANAK BALITA,LAKI-LAKI,5,JIWA,2019
217,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,ANAK BALITA,PEREMPUAN,5,JIWA,2019
218,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BAYI,LAKI-LAKI,44,JIWA,2019
219,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BAYI,PEREMPUAN,33,JIWA,2019
220,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEONATAL,LAKI-LAKI,33,JIWA,2019
221,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEONATAL,PEREMPUAN,21,JIWA,2019
222,32,JAWA BARAT,3215,KABUPATEN KARAWANG,ANAK BALITA,LAKI-LAKI,3,JIWA,2019
223,32,JAWA BARAT,3215,KABUPATEN KARAWANG,ANAK BALITA,PEREMPUAN,1,JIWA,2019
224,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BAYI,LAKI-LAKI,97,JIWA,2019
225,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BAYI,PEREMPUAN,60,JIWA,2019
226,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEONATAL,LAKI-LAKI,84,JIWA,2019
227,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEONATAL,PEREMPUAN,50,JIWA,2019
228,32,JAWA BARAT,3216,KABUPATEN BEKASI,ANAK BALITA,LAKI-LAKI,0,JIWA,2019
229,32,JAWA BARAT,3216,KABUPATEN BEKASI,ANAK BALITA,PEREMPUAN,0,JIWA,2019
230,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAYI,LAKI-LAKI,14,JIWA,2019
231,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAYI,PEREMPUAN,21,JIWA,2019
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEONATAL,LAKI-LAKI,14,JIWA,2019
